rmssd, sdnn , pnn50, bpm, spo2, activity, label
 36.9,  46.1,  16.1,  87, 98.6,        1,     1
 60.1,  75.7,  12.4,  54, 97.9,        0,     0
 28.8,  30.5,   9.9,  95, 96.2,        0,     2
 70.0,  77.6,  23.7,  76, 98.8,        0,     0
 63.7,  77.6,  32.8,  55, 98.2,        0,     0
 16.2,  19.7,   6.9,  90, 96.8,        0,     2
  9.4,  10.4,   3.1,  95, 97.6,        0,     2
 17.7,  19.1,   0.0,  89, 95.8,        0,     2
 24.8,  31.0,   6.4,  83, 98.2,        0,     2
 39.1,  44.2,   4.3,  78, 97.2,        0,     1
 72.1,  78.0,  28.6,  65, 97.7,        1,     0
 35.0,  41.6,  18.8,  79, 97.6,        2,     1
 12.1,  14.3,   6.1,  96, 96.1,        0,     2
 59.6,  76.8,  37.0,  51, 98.2,        1,     0
 48.3,  52.0,  34.8,  64, 97.9,        0,     0
 81.8,  89.9,  35.4,  52, 97.9,        0,     0
 25.4,  27.5,   1.4, 107, 98.3,        0,     2
 71.7,  80.9,  21.0,  66, 97.4,        0,     0
 19.9,  22.7,   0.7,  82, 96.7,        0,     2
 30.2,  32.0,  17.2,  79, 98.1,        0,     1
 24.7,  31.8,  14.6,  74, 96.8,        1,     1
 47.3,  62.1,  40.9,  66, 97.8,        1,     0
 15.6,  17.7,   4.1, 111, 97.3,        0,     2
 62.6,  83.1,  15.7,  68, 98.9,        1,     0
 38.8,  44.8,  14.0,  73, 97.5,        0,     1
 19.1,  20.6,   5.5, 103, 94.9,        0,     2
 30.2,  33.0,  18.9,  79, 97.7,        2,     1
 33.8,  41.4,   3.6,  73, 97.8,        2,     2
 38.5,  41.4,  12.8,  86, 97.5,        0,     1
 36.2,  40.0,  20.7,  69, 97.3,        1,     1
 19.9,  23.3,   2.6,  92, 96.4,        1,     2
 47.7,  59.1,  18.2,  68, 97.2,        1,     1
 38.4,  49.5,  20.0,  72, 96.6,        0,     1
 13.3,  14.1,   0.1,  91, 96.9,        0,     2
  9.0,  10.3,   8.1,  95, 96.7,        1,     2
 17.2,  20.5,  23.3,  77, 96.9,        0,     1
 49.5,  56.5,  36.7,  51, 98.2,        0,     0
 42.7,  47.1,  15.5,  63, 97.4,        0,     1
 32.2,  33.9,  10.4,  72, 97.9,        0,     1
 54.8,  62.8,  42.7,  63, 98.2,        0,     0
 37.8,  48.2,   8.6,  72, 97.4,        1,     1
 17.4,  20.7,  16.2,  82, 97.8,        0,     1
 26.0,  31.8,   5.5,  85, 98.1,        2,     2
 61.4,  69.8,  37.5,  61, 98.0,        0,     0
 37.3,  42.4,  13.4,  91, 97.6,        0,     1
 52.0,  55.1,  47.3,  61, 97.4,        0,     0
 21.4,  24.9,   8.6,  87, 96.1,        0,     2
 13.5,  14.8,   4.2,  86, 98.6,        0,     2
 23.5,  26.9,  13.3,  85, 96.7,        0,     1
 32.6,  38.9,  25.0,  70, 97.1,        2,     1
 28.8,  30.3,   8.3,  75, 97.3,        1,     1
  8.6,  10.2,   8.8, 105, 96.5,        0,     2
 46.7,  58.4,  21.0,  76, 97.9,        0,     1
 46.7,  60.0,  18.3,  74, 98.6,        0,     1
 33.4,  39.9,  15.1,  84, 97.3,        1,     1
 12.6,  15.3,   5.8,  85, 96.0,        0,     2
 27.1,  32.6,  12.2,  91, 96.7,        1,     1
 85.7, 101.2,  40.7,  57, 98.1,        1,     0
 67.3,  89.8,  34.8,  66, 98.4,        0,     0
 19.6,  24.1,   3.6,  76, 97.8,        0,     2
 14.8,  16.6,   0.7,  97, 96.6,        0,     2
 17.3,  20.3,   3.3, 111, 96.7,        0,     2
 22.3,  24.5,   4.0,  80, 96.9,        0,     2
 45.3,  54.3,  16.7,  82, 96.7,        1,     1
 45.3,  58.7,  27.5,  71, 97.9,        0,     0
 42.3,  47.5,  20.3,  65, 98.0,        2,     1
 19.9,  24.3,   0.0,  80, 96.2,        0,     2
 30.7,  32.7,   4.7,  77, 97.8,        0,     1
 37.8,  48.4,  17.6,  75, 97.9,        0,     1
 28.2,  34.3,  16.0,  76, 97.1,        2,     1
 43.6,  56.3,  28.0,  83, 96.8,        1,     1
 65.6,  85.2,  34.1,  54, 98.2,        0,     0
 27.7,  33.0,  22.1,  83, 97.0,        1,     1
 33.1,  42.1,   2.0,  63, 96.6,        1,     1
 80.9, 100.0,  34.7,  53, 97.4,        0,     0
 24.5,  29.1,  19.8,  67, 98.1,        1,     1
 12.1,  14.5,   1.9,  88, 96.6,        0,     2
 17.3,  19.4,  30.9,  79, 97.8,        0,     1
 28.6,  31.6,  17.4,  75, 97.5,        1,     1
 57.4,  76.1,  46.2,  66, 97.6,        1,     0
 14.0,  17.1,   4.9, 103, 97.9,        0,     2
 40.9,  47.4,  23.1,  76, 98.4,        0,     0
 22.8,  26.8,   1.9,  90, 96.0,        1,     2
 24.7,  27.7,   6.5,  76, 96.5,        0,     1
 23.1,  27.0,  10.1,  79, 96.2,        0,     2
 49.4,  57.0,  31.7,  57, 99.0,        0,     0
 63.5,  71.9,  26.5,  53, 98.1,        0,     0
 51.8,  66.9,  34.6,  64, 98.0,        0,     0
 28.2,  30.5,   7.6,  96, 97.3,        0,     2
 24.1,  27.2,  18.2,  85, 97.4,        1,     1
 21.6,  24.4,  19.0,  67, 97.9,        0,     1
 52.2,  67.1,  45.2,  66, 98.0,        1,     0
 33.9,  41.1,  10.1,  65, 98.4,        1,     1
 39.4,  44.6,  17.5,  75, 98.2,        2,     1
 16.2,  18.6,   1.9,  79, 96.8,        0,     2
 51.2,  65.7,  32.3,  56, 98.1,        0,     0
 27.8,  32.7,  15.6,  75, 97.3,        0,     1
 47.4,  57.4,  23.1,  70, 98.3,        0,     0
 27.3,  34.1,  13.8,  63, 97.0,        0,     1
 33.5,  37.4,  16.8,  75, 97.9,        0,     1
 66.4,  88.2,  33.8,  58, 98.6,        1,     0
 32.5,  34.4,  19.1,  73, 96.8,        0,     1
 40.8,  44.5,  14.6,  70, 97.1,        0,     1
 17.4,  19.1,  11.3,  87, 95.4,        0,     2
 16.6,  18.2,   6.0,  81, 96.5,        0,     2
 44.0,  47.2,  34.8,  67, 97.9,        0,     0
 34.5,  39.9,  22.7,  76, 97.2,        1,     1
 32.4,  41.8,  19.1,  76, 97.9,        0,     1
 28.9,  33.7,   5.9,  98, 95.5,        0,     2
 70.2,  94.4,  30.0,  69, 98.5,        0,     0
 33.6,  39.9,  15.1,  83, 98.4,        0,     1
 68.8,  74.9,  29.5,  57, 98.0,        0,     0
 30.9,  33.9,  26.2,  79, 98.1,        0,     1
 40.3,  44.2,   7.3,  79, 98.5,        1,     1
 36.5,  43.0,  14.6,  93, 97.8,        0,     1
 39.0,  41.5,  10.5,  76, 97.8,        1,     1
 47.4,  57.4,  29.9,  76, 98.1,        0,     0
 36.2,  38.9,  18.7,  62, 97.7,        0,     1
 35.1,  44.7,  13.8,  80, 98.1,        2,     1
 38.7,  44.4,  23.2,  78, 98.0,        1,     1
 19.6,  24.4,   4.8, 109, 97.6,        1,     2
 17.2,  20.3,   2.7,  91, 96.8,        2,     2
 21.9,  24.5,   5.4,  81, 98.0,        0,     2
 26.9,  30.3,  23.7,  73, 97.4,        1,     1
 42.8,  45.2,  18.2,  68, 97.6,        1,     1
 15.0,  16.1,   7.3, 113, 97.4,        0,     2
 15.3,  19.0,  10.1,  85, 96.1,        0,     2
 34.1,  37.5,   9.7,  88, 97.4,        0,     1
 40.3,  45.3,  33.4,  64, 98.3,        0,     0
 60.7,  68.7,  33.0,  61, 97.9,        0,     0
 15.8,  18.6,   0.5, 100, 96.1,        0,     2
 40.1,  45.5,  10.0,  53, 98.2,        0,     0
 47.1,  62.4,  43.5,  61, 98.4,        0,     0
 46.4,  50.9,   7.2,  64, 97.6,        0,     1
 16.9,  20.7,  10.7,  86, 97.4,        0,     2
 30.1,  32.6,   5.0, 109, 95.5,        0,     2
 45.9,  49.2,  50.0,  57, 98.1,        0,     0
 20.4,  22.2,   8.5,  76, 97.1,        0,     1
 13.1,  15.3,   0.6,  77, 97.4,        0,     2
 23.4,  26.0,  11.3,  83, 97.1,        0,     2
 30.6,  39.5,  17.5,  72, 97.6,        0,     1
 62.4,  67.8,  31.6,  63, 97.7,        0,     0
 41.3,  45.2,  20.4,  75, 96.9,        0,     1
 58.8,  66.6,  29.0,  55, 98.4,        0,     0
 15.0,  16.6,   7.5,  73, 97.1,        0,     2
 58.1,  66.6,  28.9,  61, 98.6,        0,     0
 46.2,  53.5,  34.7,  58, 98.5,        0,     0
 25.0,  32.3,   9.4,  71, 96.7,        0,     1
 60.8,  79.2,  35.3,  67, 98.0,        0,     0
 10.1,  10.9,   5.7,  90, 95.9,        0,     2
 49.1,  54.1,  41.3,  66, 98.2,        2,     0
 20.7,  24.2,   0.0, 108, 96.6,        1,     2
 18.5,  22.2,   6.9,  89, 99.0,        0,     2
 57.3,  77.0,  27.8,  69, 98.2,        0,     0
 60.8,  78.6,  36.9,  55, 98.6,        0,     0
 57.0,  68.0,  19.6,  61, 98.8,        0,     0
 33.7,  42.0,  17.6,  78, 97.6,        0,     1
 56.0,  62.0,  39.3,  64, 97.3,        0,     0
 48.1,  56.4,  22.0,  64, 98.4,        1,     1
 40.4,  43.0,  19.5,  98, 96.8,        0,     1
 33.2,  38.9,   4.5,  72, 96.3,        0,     2
 50.9,  67.5,  23.4,  56, 98.3,        0,     0
 62.5,  75.0,  17.7,  67, 97.8,        2,     1
 37.0,  44.9,   8.4,  69, 98.1,        1,     1
 20.8,  24.6,   4.9, 109, 97.7,        0,     2
 22.1,  24.8,   9.4,  94, 97.0,        1,     1
 20.3,  24.7,   8.3,  95, 95.3,        0,     2
 20.1,  23.9,   6.8,  88, 98.0,        0,     2
 22.5,  23.6,   6.4,  78, 96.2,        2,     2
 41.9,  46.3,  35.6,  63, 98.4,        0,     0
 17.0,  22.1,   8.6,  93, 98.1,        0,     1
 53.9,  67.3,  24.4,  63, 97.6,        1,     0
 55.7,  70.9,  10.9,  58, 98.6,        0,     0
 20.5,  21.7,   6.3,  79, 97.2,        0,     2
 54.6,  66.2,  33.4,  60, 98.8,        0,     0
 12.0,  13.8,   3.0, 108, 96.4,        0,     2
 22.2,  27.3,   8.9,  91, 96.3,        0,     2
 30.3,  33.1,   7.4,  86, 97.7,        1,     1
 41.7,  46.8,  34.3,  69, 98.1,        0,     0
 21.6,  24.8,   0.0,  94, 97.4,        0,     2
 21.5,  25.0,   5.3,  86, 98.4,        0,     2
 10.8,  11.5,   7.0,  95, 97.9,        0,     2
 20.1,  23.5,  10.0,  91, 97.4,        0,     2
 41.9,  46.6,  17.8,  76, 97.0,        0,     1
 53.5,  64.1,  14.4,  68, 98.1,        0,     0
 47.1,  61.2,  48.2,  56, 97.9,        0,     0
 29.4,  32.9,  22.7,  91, 96.9,        2,     1
 24.6,  30.8,   4.2,  94, 96.7,        0,     2
 34.1,  37.8,  26.9,  78, 96.7,        0,     1
 12.7,  13.8,   7.0,  98, 96.5,        0,     2
 13.7,  15.5,   0.0,  85, 96.5,        0,     2
 15.9,  18.5,  14.4,  73, 97.1,        0,     1
 40.8,  48.7,  14.3,  82, 98.4,        0,     1
 19.4,  22.9,  25.8,  58, 97.1,        0,     1
 16.3,  19.2,   8.4, 109, 95.5,        0,     2
 58.8,  67.3,  34.0,  62, 97.9,        0,     0
 16.7,  17.6,  12.1,  77, 97.2,        0,     2
 15.9,  19.8,  11.9,  96, 98.1,        0,     2
 54.3,  59.7,  35.8,  64, 97.1,        2,     0
 14.0,  16.0,  23.8,  72, 97.0,        0,     1
 26.6,  30.3,   5.5, 104, 96.4,        0,     2
 60.5,  78.8,  37.0,  67, 98.2,        1,     0
 42.0,  46.0,  11.7,  85, 97.3,        1,     1
 48.8,  56.7,  24.6,  56, 98.5,        0,     0
 24.5,  27.0,  20.7,  81, 99.2,        0,     1
 13.3,  15.3,   0.0, 103, 97.7,        0,     2
 43.3,  50.9,  14.7,  70, 96.8,        0,     1
 16.8,  18.2,   4.7,  74, 95.4,        0,     2
 49.1,  61.9,  19.2,  67, 97.5,        0,     1
 55.0,  72.6,  40.5,  62, 97.5,        2,     0
 40.5,  46.4,  18.9,  67, 97.6,        2,     1
 70.3,  92.5,  36.5,  64, 98.3,        0,     0
 39.0,  48.9,   7.3,  58, 97.4,        0,     1
 32.6,  41.3,  22.1,  73, 96.9,        0,     1
 51.9,  63.7,  29.4,  63, 98.2,        0,     0
 48.7,  64.1,  26.2,  60, 98.0,        0,     0
 65.1,  78.3,  20.4,  66, 97.4,        0,     0
 29.0,  35.9,  17.9,  69, 97.1,        0,     1
 42.7,  49.5,  13.8,  83, 97.7,        2,     1
 31.0,  34.6,  12.4,  67, 97.7,        0,     1
 18.7,  20.1,  16.3,  81, 98.3,        0,     1
 50.2,  54.6,  36.2,  80, 97.2,        0,     1
 31.7,  38.3,  22.0,  68, 97.0,        0,     1
 44.2,  49.3,  13.3,  65, 97.5,        0,     0
 41.9,  50.8,  38.3,  67, 98.2,        0,     0
 28.1,  34.1,   5.1,  82, 96.3,        2,     2
 32.0,  34.8,   9.8,  83, 97.2,        0,     1
 74.3,  88.8,  37.4,  56, 98.7,        0,     0
 60.1,  80.0,  22.5,  61, 98.0,        0,     0
 56.2,  66.1,  31.5,  63, 97.7,        0,     0
 16.9,  17.8,  13.0,  78, 97.6,        0,     2
 17.8,  19.8,  15.8,  87, 95.6,        0,     2
 35.0,  44.3,  13.5,  60, 96.1,        0,     1
 16.7,  19.3,   3.9,  77, 96.7,        0,     2
 14.1,  16.6,   0.0,  91, 94.8,        0,     2
 13.7,  15.9,   6.9,  78, 96.4,        0,     2
 19.7,  23.4,   2.6,  92, 97.4,        0,     2
 19.0,  22.7,  17.2,  78, 96.8,        0,     1
 54.6,  69.8,  39.0,  66, 97.7,        0,     0
 44.8,  52.7,  11.5,  73, 98.0,        2,     1
 24.3,  28.1,  11.7,  71, 96.9,        0,     1
 22.0,  25.1,   8.1,  96, 96.3,        0,     2
 63.3,  71.9,  31.2,  57, 97.9,        0,     0
 28.9,  36.8,  50.0,  66, 98.2,        0,     0
 55.3,  65.7,  26.3,  52, 98.0,        0,     0
  7.7,   8.6,   8.9,  88, 99.0,        0,     2
  4.0,   5.0,  15.3, 100, 95.3,        0,     2
 36.7,  46.3,  23.1,  78, 97.9,        1,     1
 18.6,  22.8,   2.6, 101, 96.5,        0,     2
 30.5,  38.9,   2.1,  73, 96.8,        0,     1
 58.8,  63.3,  34.1,  58, 98.4,        0,     0
 33.2,  39.0,  26.8,  64, 98.7,        0,     0
 38.7,  48.6,  19.2,  75, 97.5,        2,     1
 16.9,  19.5,   3.8,  95, 97.2,        0,     2
  9.1,  10.7,   4.8,  92, 97.2,        0,     2
 29.4,  31.2,  10.0,  70, 96.5,        1,     1
 14.9,  15.8,   8.4,  90, 96.7,        1,     2
 20.3,  23.0,   3.6,  89, 95.3,        0,     2
  4.0,   5.0,   1.0,  97, 95.4,        0,     2
 61.9,  68.7,  31.9,  50, 97.0,        1,     0
 59.2,  67.0,  35.8,  57, 97.4,        0,     0
 14.0,  16.0,   7.9,  73, 97.8,        0,     1
  9.7,  11.1,   1.9, 102, 95.2,        1,     2
 14.0,  16.0,   8.7,  72, 98.5,        0,     1
 65.9,  81.0,  37.3,  57, 98.9,        1,     0
 26.1,  28.2,   2.5,  79, 96.8,        0,     2
 33.4,  39.4,  18.5,  77, 97.0,        0,     1
 40.0,  48.1,  12.5,  79, 97.6,        0,     1
 12.3,  12.9,   0.0, 103, 96.1,        0,     2
 27.1,  29.1,  10.1,  98, 97.4,        2,     1
 66.4,  89.6,  14.2,  63, 98.2,        0,     0
 30.7,  33.9,   0.0,  99, 95.5,        1,     2
 24.7,  27.9,  16.8,  86, 97.7,        1,     1
 36.6,  41.6,  17.1,  64, 97.5,        0,     1
 42.8,  46.4,  50.0,  60, 97.5,        0,     0
 56.6,  75.4,  33.1,  49, 97.8,        0,     0
 31.9,  41.4,  16.7,  63, 97.0,        0,     1
 27.6,  29.1,   3.9,  84, 97.9,        1,     1
 47.1,  49.8,  34.2,  61, 98.2,        0,     0
  9.4,  10.2,   6.7,  93, 96.0,        0,     2
 11.5,  13.5,   5.4,  90, 96.9,        0,     2
 20.0,  21.6,   7.6, 104, 96.7,        0,     2
 21.9,  23.3,   3.5,  88, 95.5,        0,     2
 22.1,  25.7,   0.0,  95, 97.3,        2,     2
 34.9,  38.8,  13.2,  68, 95.4,        1,     2
 17.5,  18.5,   7.5,  91, 96.0,        0,     2
 33.1,  38.6,  28.5,  67, 99.0,        0,     0
 41.9,  54.6,  37.6,  62, 97.5,        2,     0
 44.6,  59.0,  36.1,  60, 97.3,        0,     0
 37.2,  48.7,  27.2,  59, 97.5,        0,     0
 30.2,  35.6,   9.3,  77, 97.7,        0,     1
 26.5,  27.8,  12.8,  81, 96.3,        0,     1
  8.2,   9.8,   5.4,  78, 97.6,        0,     2
 59.9,  67.8,  38.0,  58, 98.3,        0,     0
 53.6,  63.7,  16.5,  56, 98.3,        0,     0
 54.3,  61.7,  25.7,  64, 98.1,        2,     0
 34.5,  38.8,  14.8,  69, 97.0,        1,     1
 30.5,  36.7,  17.5,  92, 98.8,        1,     1
 16.1,  18.3,   5.1,  74, 98.2,        0,     2
 22.4,  23.8,   9.9,  92, 97.6,        1,     1
 56.5,  68.1,  31.6,  69, 97.8,        0,     0
 16.9,  19.2,   6.1,  89, 96.1,        1,     2
 50.7,  55.4,  24.7,  61, 97.5,        0,     0
 19.8,  23.0,   0.0,  99, 95.4,        1,     2
 31.3,  33.6,   8.7,  79, 97.4,        1,     1
 70.8,  84.9,  24.9,  59, 97.3,        1,     0
 25.8,  28.3,   2.0,  97, 97.2,        0,     1
 28.5,  30.4,  23.5,  64, 98.5,        1,     1
 16.1,  18.9,  29.0,  88, 97.3,        1,     1
 52.3,  69.6,  20.4,  62, 98.3,        1,     0
 37.5,  46.1,   4.2,  87, 97.2,        0,     1
 50.6,  55.6,  32.3,  57, 97.9,        1,     0
 80.6,  98.4,  35.5,  62, 97.7,        0,     0
 18.7,  23.2,   3.7, 100, 95.3,        0,     2
 46.3,  52.8,  18.2,  58, 98.3,        1,     0
 27.3,  33.9,  13.0,  80, 98.7,        0,     1
 44.5,  48.8,  15.2,  73, 99.0,        0,     0
 48.5,  60.0,  17.9,  66, 98.7,        0,     0
 29.7,  33.0,   6.2,  91, 96.6,        0,     2
 69.6,  74.7,  35.0,  63, 97.6,        1,     0
 24.6,  26.1,  24.7,  75, 97.5,        0,     1
 13.9,  16.6,   0.9,  88, 96.0,        0,     2
 77.1,  82.6,  32.9,  55, 96.9,        1,     0
 53.5,  58.4,  22.7,  70, 97.3,        0,     0
 55.6,  62.3,  45.1,  67, 97.9,        0,     0
 56.7,  64.7,  24.4,  63, 98.3,        0,     0
 59.8,  69.6,  18.9,  61, 97.5,        0,     0
 18.3,  22.7,   0.0,  99, 96.6,        0,     2
 17.7,  22.0,   4.3,  99, 97.2,        2,     2
 13.1,  14.3,   8.7,  95, 98.3,        0,     2
 17.7,  18.9,   5.4,  81, 95.6,        0,     2
 17.6,  21.8,  10.2,  92, 95.8,        0,     2
 11.0,  12.6,  11.7,  99, 97.0,        0,     2
 29.9,  31.6,  13.3,  79, 97.1,        0,     1
 26.0,  27.5,   4.5,  94, 97.5,        0,     2
 22.8,  27.6,  11.7,  58, 96.5,        1,     1
 32.4,  41.3,  19.9,  78, 97.3,        0,     1
 45.5,  51.9,  28.4,  72, 98.2,        0,     0
 20.9,  22.5,  10.1,  85, 98.5,        0,     1
 38.9,  44.0,  17.4,  80, 96.8,        2,     1
 16.2,  19.3,   6.5,  87, 96.9,        0,     2
 19.2,  23.3,   7.0,  82, 98.6,        1,     1
 14.9,  17.5,   0.7,  68, 96.5,        0,     2
 42.7,  45.7,  16.7,  71, 97.2,        0,     1
 51.0,  61.3,  14.8,  77, 97.6,        0,     1
 25.7,  27.2,   6.2,  97, 97.2,        0,     2
 16.7,  20.9,   0.0,  97, 97.8,        0,     2
 39.3,  48.0,  11.9,  80, 97.0,        0,     1
  4.0,   5.0,   2.1, 117, 96.5,        0,     2
 23.7,  25.4,   8.2, 109, 97.5,        0,     2
 34.9,  38.9,  16.1,  74, 98.1,        0,     1
  6.7,   8.2,   1.6, 103, 95.3,        1,     2
 30.1,  36.7,  11.4,  96, 96.2,        0,     2
 45.9,  51.4,  17.4,  63, 96.9,        0,     1
 40.3,  47.1,   9.9,  71, 97.5,        1,     1
 14.7,  16.1,   6.8, 103, 94.6,        1,     2
  6.2,   7.4,   1.4,  91, 96.1,        0,     2
 55.1,  67.6,  30.6,  65, 98.8,        1,     0
 20.2,  21.4,  25.6,  81, 96.6,        2,     1
 24.9,  27.6,   7.6,  99, 97.2,        0,     2
 19.5,  23.2,   0.0,  72, 97.1,        0,     2
 70.9,  89.6,  19.5,  60, 98.6,        0,     0
 50.0,  65.3,  10.0,  60, 97.9,        0,     0
 66.1,  88.9,  43.6,  59, 99.0,        0,     0
 51.5,  58.6,  13.2,  80, 97.4,        0,     1
 71.9,  95.3,  47.6,  60, 98.7,        0,     0
 19.0,  23.4,   6.9,  79, 97.4,        0,     2
 15.6,  16.4,   9.3, 106, 95.1,        0,     2
 68.3,  80.4,  26.6,  52, 98.1,        0,     0
 41.3,  48.2,  13.8,  72, 96.2,        1,     1
 35.0,  45.1,  11.5,  73, 97.1,        1,     1
 69.8,  85.2,  29.0,  56, 98.2,        0,     0
 15.9,  18.0,   5.5,  93, 96.3,        1,     2
 61.0,  74.3,  37.5,  58, 97.0,        0,     0
 33.5,  42.3,  16.2,  86, 97.2,        0,     1
 64.6,  80.2,  38.9,  57, 98.7,        1,     0
 44.4,  56.2,   9.0,  61, 97.4,        0,     1
 24.7,  30.0,   0.9, 105, 97.1,        0,     2
 17.7,  19.3,   5.4, 101, 95.6,        0,     2
 27.8,  30.5,  31.3,  71, 98.0,        0,     1
 62.5,  84.0,  42.6,  61, 97.9,        0,     0
 20.3,  23.5,  10.9,  86, 97.1,        2,     2
 16.4,  17.9,   3.4,  75, 97.6,        0,     1
 37.5,  43.7,  21.8,  91, 97.8,        1,     1
 73.4,  98.7,  34.2,  64, 99.0,        0,     0
 20.5,  22.7,   2.3, 110, 96.9,        0,     2
  8.0,   8.6,   7.6,  87, 95.1,        0,     2
 26.3,  31.1,   2.3,  79, 96.2,        1,     2
 38.1,  43.6,  27.9,  80, 96.6,        1,     1
 12.2,  14.3,   9.1, 100, 97.1,        0,     2
 35.0,  43.0,   9.7,  72, 98.1,        0,     1
 19.6,  25.4,  10.2,  76, 98.8,        0,     1
 30.3,  32.6,  12.6,  75, 97.8,        0,     2
 55.3,  61.7,  30.9,  69, 98.5,        0,     0
 22.3,  27.0,   5.2,  89, 96.8,        0,     2
 16.9,  19.1,   7.5,  81, 96.1,        0,     1
 12.2,  13.4,   7.0,  83, 96.7,        0,     2
 63.4,  76.2,  20.3,  55, 98.1,        0,     0
 28.0,  30.0,  12.0,  63, 98.8,        0,     0
 47.8,  60.4,  18.6,  68, 97.1,        0,     1
 27.7,  35.9,  23.2,  73, 98.1,        0,     1
 17.1,  19.5,   4.6, 105, 96.7,        2,     2
 29.0,  35.0,  17.1,  86, 97.8,        0,     1
 29.0,  37.3,  11.2,  95, 98.3,        0,     1
 23.3,  25.2,  22.4,  76, 96.5,        1,     1
 49.5,  63.0,  26.5,  67, 97.0,        1,     1
 34.8,  37.7,   8.7,  78, 97.4,        0,     1
 60.7,  64.1,  26.1,  69, 98.4,        0,     0
 52.0,  67.0,  30.5,  79, 98.5,        0,     0
 48.1,  54.5,  35.5,  55, 98.3,        0,     0
 32.9,  40.5,  17.2,  84, 97.8,        1,     1
 14.0,  16.0,  19.5,  77, 97.7,        1,     1
 12.5,  14.2,   7.5,  93, 97.5,        0,     2
 46.2,  50.4,  18.3,  74, 96.5,        1,     1
 16.3,  18.3,   5.3, 102, 97.1,        2,     2
 32.2,  38.0,  25.6,  91, 98.1,        1,     1
 38.7,  41.4,   5.6,  84, 97.7,        1,     1
 63.7,  74.0,  16.9,  66, 98.2,        1,     0
 41.3,  45.1,  17.3,  73, 97.2,        1,     1
 33.9,  38.8,  11.0,  76, 97.1,        0,     1
 41.0,  53.4,  34.4,  64, 98.3,        0,     0
 17.4,  19.2,   5.7,  95, 97.5,        1,     2
 44.1,  50.6,  24.7,  77, 98.4,        0,     0
 24.6,  27.3,   4.8,  98, 96.7,        1,     2
 35.7,  37.8,  28.0,  63, 97.5,        0,     1
 59.0,  70.8,  24.7,  68, 98.1,        0,     0
 63.9,  76.4,  58.2,  65, 98.3,        0,     0
 39.3,  51.5,  30.4,  59, 97.7,        2,     0
 38.0,  40.2,   5.8,  91, 95.2,        0,     2
 35.6,  43.6,  21.0,  74, 97.3,        1,     1
 39.9,  48.1,  20.2,  71, 98.0,        1,     1
 26.0,  30.5,   7.4,  91, 96.4,        0,     2
 20.4,  22.8,  19.0,  67, 96.9,        2,     1
 42.5,  45.0,  23.5,  78, 98.0,        1,     1
 13.7,  15.1,   0.7, 108, 97.6,        0,     2
 51.4,  57.7,  43.9,  54, 98.3,        0,     0
 55.9,  67.2,  35.1,  70, 99.1,        0,     0
 26.5,  28.2,  22.2,  81, 96.2,        1,     1
 55.3,  63.2,  29.8,  56, 97.6,        0,     0
 57.4,  77.0,  48.9,  63, 97.7,        1,     0
